,Age,SibSp,Parch,LogFare,Sex_male,Sex_female,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S
0,22.0,1,0,2.1102132003465894,1,0,0,0,1,0,0,1
1,38.0,1,0,4.2805931204649,0,1,1,0,0,1,0,0
2,26.0,0,0,2.188856327665703,0,1,0,0,1,0,0,1
3,35.0,1,0,3.9908341858524357,0,1,1,0,0,0,0,1
4,35.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
5,24.0,0,0,2.246892662898172,1,0,0,0,1,0,1,0
6,54.0,0,0,3.967694202798607,1,0,1,0,0,0,0,1
7,2.0,3,1,3.0944457464900235,1,0,0,0,1,0,0,1
8,27.0,0,2,2.495953738718064,0,1,0,0,1,0,0,1
9,14.0,1,0,3.436268471383741,0,1,0,1,0,1,0,0
10,4.0,1,1,2.8735646395797834,0,1,0,0,1,0,0,1
11,58.0,0,0,3.3160025355989236,0,1,1,0,0,0,0,1
12,20.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
13,39.0,1,5,3.4742929367327062,1,0,0,0,1,0,0,1
14,14.0,0,0,2.180891922715322,0,1,0,0,1,0,0,1
15,55.0,0,0,2.833213344056216,0,1,0,1,0,0,0,1
16,2.0,4,1,3.405355391810819,1,0,0,0,1,0,1,0
17,24.0,0,0,2.6390573296152584,1,0,0,1,0,0,0,1
18,31.0,1,0,2.9444389791664403,0,1,0,0,1,0,0,1
19,24.0,0,0,2.1071782966514356,0,1,0,0,1,1,0,0
20,35.0,0,0,3.295836866004329,1,0,0,1,0,0,0,1
21,34.0,0,0,2.6390573296152584,1,0,0,1,0,0,0,1
22,15.0,0,0,2.2004637699272855,0,1,0,0,1,0,1,0
23,28.0,0,0,3.597312260588446,1,0,1,0,0,0,0,1
24,8.0,3,1,3.0944457464900235,0,1,0,0,1,0,0,1
25,38.0,1,5,3.4777725458882283,0,1,0,0,1,0,0,1
26,24.0,0,0,2.1071782966514356,1,0,0,0,1,1,0,0
27,19.0,3,2,5.575949103146316,1,0,1,0,0,0,0,1
28,24.0,0,0,2.1837114628556327,0,1,0,0,1,0,1,0
29,24.0,0,0,2.1855792552411137,1,0,0,0,1,0,0,1
30,40.0,0,0,3.357621598945279,1,0,1,0,0,1,0,0
31,24.0,1,0,4.993969182787072,0,1,1,0,0,1,0,0
32,24.0,0,0,2.169053700369523,0,1,0,0,1,0,1,0
33,66.0,0,0,2.4423470353692043,1,0,0,1,0,0,0,1
34,28.0,1,0,4.420896324687287,1,0,1,0,0,1,0,0
35,42.0,1,0,3.970291913552122,1,0,1,0,0,0,0,1
36,24.0,0,0,2.1076888046179385,1,0,0,0,1,1,0,0
37,21.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
38,18.0,2,0,2.9444389791664403,0,1,0,0,1,0,0,1
39,14.0,1,0,2.5048481563289,0,1,0,0,1,1,0,0
40,40.0,1,0,2.348991465808201,0,1,0,0,1,0,0,1
41,27.0,1,0,3.091042453358316,0,1,0,1,0,0,0,1
42,24.0,0,0,2.1855792552411137,1,0,0,0,1,1,0,0
43,3.0,1,2,3.7513658711253766,0,1,0,1,0,1,0,0
44,19.0,0,0,2.1837114628556327,0,1,0,0,1,0,1,0
45,24.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
46,24.0,1,0,2.803360380906535,1,0,0,0,1,0,1,0
47,24.0,0,0,2.169053700369523,0,1,0,0,1,0,1,0
48,24.0,2,0,3.1214482048688246,1,0,0,0,1,1,0,0
49,18.0,1,0,2.9338568698359038,0,1,0,0,1,0,0,1
50,7.0,4,1,3.705920919968788,1,0,0,0,1,0,0,1
51,21.0,0,0,2.174751721484161,1,0,0,0,1,0,0,1
52,49.0,1,0,4.353230991152628,0,1,1,0,0,1,0,0
53,29.0,1,0,3.295836866004329,0,1,0,1,0,0,0,1
54,65.0,0,1,4.142804513146981,1,0,1,0,0,1,0,0
55,24.0,0,0,3.597312260588446,1,0,1,0,0,0,0,1
56,21.0,0,0,2.4423470353692043,0,1,0,1,0,0,0,1
57,28.5,0,0,2.1076888046179385,1,0,0,0,1,1,0,0
58,5.0,1,2,3.3586377672433594,0,1,0,1,0,0,0,1
59,11.0,5,2,3.8691155044168695,1,0,0,0,1,0,0,1
60,22.0,0,0,2.1076888046179385,1,0,0,0,1,1,0,0
61,38.0,0,0,4.394449154672439,0,1,1,0,0,0,0,1
62,45.0,1,0,4.436455632600354,1,0,1,0,0,0,0,1
63,4.0,3,2,3.3638415951183864,1,0,0,0,1,0,0,1
64,24.0,0,0,3.357621598945279,1,0,1,0,0,1,0,0
65,24.0,1,1,2.7878344138303452,1,0,0,0,1,1,0,0
66,29.0,0,0,2.4423470353692043,0,1,0,1,0,0,0,1
67,19.0,0,0,2.2146605719425225,1,0,0,0,1,0,0,1
68,17.0,4,2,2.188856327665703,0,1,0,0,1,0,0,1
69,26.0,2,0,2.2682524139135403,1,0,0,0,1,0,0,1
70,32.0,0,0,2.4423470353692043,1,0,0,1,0,0,0,1
71,16.0,5,2,3.8691155044168695,0,1,0,0,1,0,0,1
72,21.0,0,0,4.310799125385514,1,0,0,1,0,0,0,1
73,26.0,1,0,2.737880811060884,1,0,0,0,1,1,0,0
74,32.0,0,0,4.05171190165724,1,0,0,0,1,0,0,1
75,25.0,0,0,2.157559320943788,1,0,0,0,1,0,0,1
76,24.0,0,0,2.1855792552411137,1,0,0,0,1,0,0,1
77,24.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
78,0.83,0,2,3.4011973816621555,1,0,0,1,0,0,0,1
79,30.0,0,0,2.600836116795061,0,1,0,0,1,0,0,1
80,22.0,0,0,2.302585092994046,1,0,0,0,1,0,0,1
81,29.0,0,0,2.3513752571634776,1,0,0,0,1,0,0,1
82,24.0,0,0,2.1733302571367834,0,1,0,0,1,0,1,0
83,28.0,0,0,3.8732821771117156,1,0,1,0,0,0,0,1
84,17.0,0,0,2.4423470353692043,0,1,0,1,0,0,0,1
85,33.0,3,0,2.8243506567983707,0,1,0,0,1,0,0,1
86,16.0,1,3,3.5660053559634015,1,0,0,0,1,0,0,1
87,24.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
88,23.0,3,2,5.575949103146316,0,1,1,0,0,0,0,1
89,24.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
90,29.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
91,20.0,0,0,2.180891922715322,1,0,0,0,1,0,0,1
92,46.0,1,0,4.1299529896894684,1,0,1,0,0,0,0,1
93,26.0,1,2,3.0715352369694915,1,0,0,0,1,0,0,1
94,59.0,0,0,2.1102132003465894,1,0,0,0,1,0,0,1
95,24.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
96,71.0,0,0,3.57386695198272,1,0,1,0,0,1,0,0
97,23.0,0,1,4.164465907853638,1,0,1,0,0,1,0,0
98,34.0,0,1,3.1780538303479458,0,1,0,1,0,0,0,1
99,34.0,1,0,3.295836866004329,1,0,0,1,0,0,0,1
100,28.0,0,0,2.1855792552411137,0,1,0,0,1,0,0,1
101,24.0,0,0,2.1855792552411137,1,0,0,0,1,0,0,1
102,21.0,0,1,4.360387947851531,1,0,1,0,0,0,0,1
103,33.0,0,0,2.267393053825037,1,0,0,0,1,0,0,1
104,37.0,2,0,2.188856327665703,1,0,0,0,1,0,0,1
105,28.0,0,0,2.1855792552411137,1,0,0,0,1,0,0,1
106,21.0,0,0,2.157559320943788,0,1,0,0,1,0,0,1
107,24.0,0,0,2.1719067693519296,1,0,0,0,1,0,0,1
108,38.0,0,0,2.1855792552411137,1,0,0,0,1,0,0,1
109,24.0,1,0,3.224857896545748,0,1,0,0,1,0,1,0
110,47.0,0,0,3.970291913552122,1,0,1,0,0,0,0,1
111,14.5,1,0,2.737880811060884,0,1,0,0,1,1,0,0
112,22.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
113,20.0,1,0,2.3818582738885534,0,1,0,0,1,0,0,1
114,17.0,0,0,2.738146075922933,0,1,0,0,1,1,0,0
115,21.0,0,0,2.188856327665703,1,0,0,0,1,0,0,1
116,70.5,0,0,2.169053700369523,1,0,0,0,1,0,1,0
117,29.0,1,0,3.091042453358316,1,0,0,1,0,0,0,1
118,24.0,0,1,5.515526544247129,1,0,1,0,0,1,0,0
119,2.0,4,2,3.4742929367327062,0,1,0,0,1,0,0,1
120,21.0,2,0,4.310799125385514,1,0,0,1,0,0,0,1
121,24.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
122,32.5,1,0,3.436268471383741,1,0,0,1,0,1,0,0
123,32.5,0,0,2.6390573296152584,0,1,0,1,0,0,0,1
124,54.0,0,1,4.360387947851531,1,0,1,0,0,0,0,1
125,12.0,1,0,2.5048481563289,1,0,0,0,1,1,0,0
126,24.0,0,0,2.169053700369523,1,0,0,0,1,0,1,0
127,24.0,0,0,2.0969990034181696,1,0,0,0,1,0,0,1
128,24.0,1,1,3.1509523813392697,0,1,0,0,1,1,0,0
129,45.0,0,0,2.076311648670908,1,0,0,0,1,0,0,1
130,33.0,0,0,2.1855792552411137,1,0,0,0,1,1,0,0
131,20.0,0,0,2.0856720914304723,1,0,0,0,1,0,0,1
132,47.0,1,0,2.740840023925201,0,1,0,0,1,0,0,1
133,29.0,1,0,3.295836866004329,0,1,0,1,0,0,0,1
134,25.0,0,0,2.6390573296152584,1,0,0,1,0,0,0,1
135,23.0,0,0,2.775447133088262,1,0,0,1,0,1,0,0
136,19.0,0,2,3.3062747934011893,0,1,1,0,0,0,0,1
137,37.0,1,0,3.9908341858524357,1,0,1,0,0,0,0,1
138,16.0,0,0,2.3240236363515288,1,0,0,0,1,0,0,1
139,24.0,0,0,4.384523514872469,1,0,1,0,0,1,0,0
140,24.0,0,2,2.7878344138303452,0,1,0,0,1,1,0,0
141,22.0,0,0,2.169053700369523,0,1,0,0,1,0,0,1
142,24.0,1,0,2.8243506567983707,0,1,0,0,1,0,0,1
143,19.0,0,0,2.0476928433652555,1,0,0,0,1,0,1,0
144,18.0,0,0,2.5257286443082556,1,0,0,1,0,0,0,1
145,19.0,1,1,3.6309854756950335,1,0,0,1,0,0,0,1
146,27.0,0,0,2.174274334826008,1,0,0,0,1,0,0,1
147,9.0,2,2,3.5660053559634015,0,1,0,0,1,0,0,1
148,36.5,0,2,3.295836866004329,1,0,0,1,0,0,0,1
149,42.0,0,0,2.6390573296152584,1,0,0,1,0,0,0,1
150,51.0,0,0,2.6045398247325453,1,0,0,1,0,0,0,1
151,22.0,1,0,4.213607983048918,0,1,1,0,0,0,0,1
152,55.5,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
153,40.5,0,2,2.740840023925201,1,0,0,0,1,0,0,1
154,24.0,0,0,2.1177604059819726,1,0,0,0,1,0,0,1
155,51.0,0,1,4.133231886474144,1,0,1,0,0,1,0,0
156,16.0,0,0,2.167143305297764,0,1,0,0,1,0,1,0
157,30.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
158,24.0,0,0,2.2682524139135403,1,0,0,0,1,0,0,1
159,24.0,8,2,4.256321678298823,1,0,0,0,1,0,0,1
160,44.0,0,1,2.8390784635086144,1,0,0,0,1,0,0,1
161,40.0,0,0,2.8183982582710754,0,1,0,1,0,0,0,1
162,26.0,0,0,2.1719067693519296,1,0,0,0,1,0,0,1
163,17.0,0,0,2.2682524139135403,1,0,0,0,1,0,0,1
164,1.0,4,1,3.705920919968788,1,0,0,0,1,0,0,1
165,9.0,0,2,3.0692150503137943,1,0,0,0,1,0,0,1
166,24.0,0,1,4.02535169073515,0,1,1,0,0,0,0,1
167,45.0,1,4,3.3638415951183864,0,1,0,0,1,0,0,1
168,24.0,0,0,3.2930552230424524,1,0,1,0,0,0,0,1
169,28.0,0,0,4.05171190165724,1,0,0,0,1,0,0,1
170,61.0,0,0,3.5409593240373143,1,0,1,0,0,0,0,1
171,4.0,4,1,3.405355391810819,1,0,0,0,1,0,1,0
172,1.0,1,1,2.495953738718064,0,1,0,0,1,0,0,1
173,21.0,0,0,2.188856327665703,1,0,0,0,1,0,0,1
174,56.0,0,0,3.4561841799918147,1,0,1,0,0,1,0,0
175,18.0,1,1,2.180891922715322,1,0,0,0,1,0,0,1
176,24.0,3,1,3.275887339030031,1,0,0,0,1,0,0,1
177,50.0,0,0,3.391567832686312,0,1,1,0,0,1,0,0
178,30.0,0,0,2.6390573296152584,1,0,0,1,0,0,0,1
179,36.0,0,0,0.0,1,0,0,0,1,0,0,1
180,24.0,8,2,4.256321678298823,0,1,0,0,1,0,0,1
181,24.0,0,0,2.775708849576025,1,0,0,1,0,1,0,0
182,9.0,4,2,3.4777725458882283,1,0,0,0,1,0,0,1
183,1.0,2,1,3.6888794541139363,1,0,0,1,0,0,0,1
184,4.0,0,2,3.1365805821413706,0,1,0,0,1,0,0,1
185,24.0,0,0,3.9318256327243257,1,0,1,0,0,0,0,1
186,24.0,1,0,2.803360380906535,0,1,0,0,1,0,1,0
187,45.0,0,0,3.3160025355989236,1,0,1,0,0,0,0,1
188,40.0,1,1,2.803360380906535,1,0,0,0,1,0,1,0
189,36.0,0,0,2.1855792552411137,1,0,0,0,1,0,0,1
190,32.0,0,0,2.6390573296152584,0,1,0,1,0,0,0,1
191,19.0,0,0,2.6390573296152584,1,0,0,1,0,0,0,1
192,19.0,1,0,2.180891922715322,0,1,0,0,1,0,0,1
193,3.0,1,1,3.295836866004329,1,0,0,1,0,0,0,1
194,44.0,0,0,3.357621598945279,0,1,1,0,0,1,0,0
195,58.0,0,0,4.993969182787072,0,1,1,0,0,1,0,0
196,24.0,0,0,2.169053700369523,1,0,0,0,1,0,1,0
197,42.0,0,1,2.2411563979973974,1,0,0,0,1,0,0,1
198,24.0,0,0,2.169053700369523,0,1,0,0,1,0,1,0
199,24.0,0,0,2.6390573296152584,0,1,0,1,0,0,0,1
200,28.0,0,0,2.3513752571634776,1,0,0,0,1,0,0,1
201,24.0,8,2,4.256321678298823,1,0,0,0,1,0,0,1
202,34.0,0,0,2.0143428636837015,1,0,0,0,1,0,0,1
203,45.5,0,0,2.1071782966514356,1,0,0,0,1,1,0,0
204,18.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
205,2.0,0,1,2.4390808375825834,0,1,0,0,1,0,0,1
206,32.0,1,0,2.8243506567983707,1,0,0,0,1,0,0,1
207,26.0,0,0,2.9850504252071306,1,0,0,0,1,1,0,0
208,16.0,0,0,2.169053700369523,0,1,0,0,1,0,1,0
209,40.0,0,0,3.4657359027997265,1,0,1,0,0,1,0,0
210,24.0,0,0,2.0856720914304723,1,0,0,0,1,0,0,1
211,35.0,0,0,3.091042453358316,0,1,0,1,0,0,0,1
212,22.0,0,0,2.1102132003465894,1,0,0,0,1,0,0,1
213,30.0,0,0,2.6390573296152584,1,0,0,1,0,0,0,1
214,24.0,1,0,2.169053700369523,1,0,0,0,1,0,1,0
215,31.0,1,0,4.738607824217808,0,1,1,0,0,1,0,0
216,27.0,0,0,2.188856327665703,0,1,0,0,1,0,0,1
217,42.0,1,0,3.332204510175204,1,0,0,1,0,0,0,1
218,32.0,0,0,4.347586575960343,0,1,1,0,0,1,0,0
219,30.0,0,0,2.4423470353692043,1,0,0,1,0,0,0,1
220,16.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
221,27.0,0,0,2.6390573296152584,1,0,0,1,0,0,0,1
222,51.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
223,24.0,0,0,2.1855792552411137,1,0,0,0,1,0,0,1
224,38.0,1,0,4.51085950651685,1,0,1,0,0,0,0,1
225,22.0,0,0,2.336986519711378,1,0,0,0,1,0,0,1
226,19.0,0,0,2.4423470353692043,1,0,0,1,0,0,0,1
227,20.5,0,0,2.1102132003465894,1,0,0,0,1,0,0,1
228,18.0,0,0,2.6390573296152584,1,0,0,1,0,0,0,1
229,24.0,3,1,3.275887339030031,0,1,0,0,1,0,0,1
230,35.0,1,0,4.436455632600354,0,1,1,0,0,0,0,1
231,29.0,0,0,2.1719067693519296,1,0,0,0,1,0,0,1
232,59.0,0,0,2.6741486494265287,1,0,0,1,0,0,0,1
233,5.0,4,2,3.4777725458882283,0,1,0,0,1,0,0,1
234,24.0,0,0,2.4423470353692043,1,0,0,1,0,0,0,1
235,24.0,0,0,2.145931282948669,0,1,0,0,1,0,0,1
236,44.0,1,0,3.295836866004329,1,0,0,1,0,0,0,1
237,8.0,0,2,3.305053521109253,0,1,0,1,0,0,0,1
238,19.0,0,0,2.4423470353692043,1,0,0,1,0,0,0,1
239,33.0,0,0,2.5858825671280026,1,0,0,1,0,0,0,1
240,24.0,1,0,2.737880811060884,0,1,0,0,1,1,0,0
241,24.0,1,0,2.803360380906535,0,1,0,0,1,0,1,0
242,29.0,0,0,2.4423470353692043,1,0,0,1,0,0,0,1
243,22.0,0,0,2.094945728215801,1,0,0,0,1,0,0,1
244,30.0,0,0,2.1071782966514356,1,0,0,0,1,1,0,0
245,44.0,2,0,4.51085950651685,1,0,1,0,0,0,1,0
246,25.0,0,0,2.1719067693519296,0,1,0,0,1,0,0,1
247,24.0,0,2,2.740840023925201,0,1,0,1,0,0,0,1
248,37.0,1,1,3.9806942251907276,1,0,1,0,0,0,0,1
249,54.0,1,0,3.295836866004329,1,0,0,1,0,0,0,1
250,24.0,0,0,2.1102132003465894,1,0,0,0,1,0,0,1
251,29.0,1,1,2.4390808375825834,0,1,0,0,1,0,0,1
252,62.0,0,0,3.3160025355989236,1,0,1,0,0,0,0,1
253,30.0,1,0,2.8390784635086144,1,0,0,0,1,0,0,1
254,41.0,0,2,3.0545906305603445,0,1,0,0,1,0,0,1
255,29.0,0,2,2.7878344138303452,0,1,0,0,1,1,0,0
256,24.0,0,0,4.384523514872469,0,1,1,0,0,1,0,0
257,30.0,0,0,4.471638793363569,0,1,1,0,0,0,0,1
258,35.0,0,0,6.240917354759096,0,1,1,0,0,1,0,0
259,50.0,0,1,3.295836866004329,0,1,0,1,0,0,0,1
260,24.0,0,0,2.169053700369523,1,0,0,0,1,0,1,0
261,3.0,4,2,3.4777725458882283,1,0,0,0,1,0,0,1
262,52.0,1,1,4.390118804571218,1,0,1,0,0,0,0,1
263,40.0,0,0,0.0,1,0,1,0,0,0,0,1
264,24.0,0,0,2.169053700369523,0,1,0,0,1,0,1,0
265,36.0,0,0,2.4423470353692043,1,0,0,1,0,0,0,1
266,16.0,4,1,3.705920919968788,1,0,0,0,1,0,0,1
267,25.0,1,0,2.1719067693519296,1,0,0,0,1,0,0,1
268,58.0,0,1,5.039951348430309,0,1,1,0,0,0,0,1
269,35.0,0,0,4.91730069488021,0,1,1,0,0,0,0,1
270,24.0,0,0,3.4657359027997265,1,0,1,0,0,0,0,1
271,25.0,0,0,0.0,1,0,0,0,1,0,0,1
272,41.0,0,1,3.0204248861443626,0,1,0,1,0,0,0,1
273,37.0,0,1,3.4242626545931514,1,0,1,0,0,1,0,0
274,24.0,0,0,2.169053700369523,0,1,0,0,1,0,1,0
275,63.0,1,0,4.368919865004903,0,1,1,0,0,0,0,1
276,45.0,0,0,2.169053700369523,0,1,0,0,1,0,0,1
277,24.0,0,0,0.0,1,0,0,1,0,0,0,1
278,7.0,4,1,3.405355391810819,1,0,0,0,1,0,1,0
279,35.0,1,1,3.056356895370426,0,1,0,0,1,0,0,1
280,65.0,0,0,2.169053700369523,1,0,0,0,1,0,1,0
281,28.0,0,0,2.180891922715322,1,0,0,0,1,0,0,1
282,16.0,0,0,2.3513752571634776,1,0,0,0,1,0,0,1
283,19.0,0,0,2.2027647577118348,1,0,0,0,1,0,0,1
284,24.0,0,0,3.295836866004329,1,0,1,0,0,0,0,1
285,33.0,0,0,2.2682524139135403,1,0,0,0,1,1,0,0
286,30.0,0,0,2.3513752571634776,1,0,0,0,1,0,0,1
287,22.0,0,0,2.1855792552411137,1,0,0,0,1,0,0,1
288,42.0,0,0,2.6390573296152584,1,0,0,1,0,0,0,1
289,22.0,0,0,2.169053700369523,0,1,0,0,1,0,1,0
290,26.0,0,0,4.380149874661021,0,1,1,0,0,0,0,1
291,19.0,1,0,4.5226490762785785,0,1,1,0,0,1,0,0
292,36.0,0,0,2.630088659632498,1,0,0,1,0,1,0,0
293,24.0,0,0,2.2874714551839976,0,1,0,0,1,0,0,1
294,24.0,0,0,2.1855792552411137,1,0,0,0,1,0,0,1
295,24.0,0,0,3.357621598945279,1,0,1,0,0,1,0,0
